precision,recall
0.3903700756068444,1.0
0.3903959673675134,1.0
0.3904218625630141,1.0
0.39044776119402985,1.0
0.39047366326124455,1.0
0.390499568765342,1.0
0.39052547770700635,1.0
0.3905513900869219,1.0
0.39057730590577305,1.0
0.39060322516424445,1.0
0.390629147863021,1.0
0.39065507400278754,1.0
0.3906810035842294,1.0
0.39070693660803185,1.0
0.3907328730748805,1.0
0.39075881298546106,1.0
0.39078475634045945,1.0
0.3908107031405617,1.0
0.3908366533864542,1.0
0.3908626070788233,1.0
0.3908885642183557,1.0
0.3909145248057382,1.0
0.39094048884165783,1.0
0.3909664563268017,1.0
0.3909924272618573,1.0
0.3910184016475121,1.0
0.3910443794844539,1.0
0.39107036077337054,1.0
0.39109634551495015,1.0
0.39112233370988103,1.0
0.3911483253588517,1.0
0.3911743204625507,1.0
0.3912003190216669,1.0
0.3912263210368893,1.0
0.3912523265089072,1.0
0.3912783354384099,1.0
0.391304347826087,1.0
0.39133036367262813,1.0
0.3913563829787234,1.0
0.39138240574506283,1.0
0.39140843197233677,1.0
0.39143446166123563,1.0
0.3914604948124501,1.0
0.3914865314266711,1.0
0.3915125715045896,1.0
0.39153861504689685,1.0
0.3915646620542842,1.0
0.39159071252744326,1.0
0.3916167664670659,1.0
0.3916428238738439,1.0
0.3916688847484695,1.0
0.39169494909163505,1.0
0.391721016904033,1.0
0.39174708818635606,1.0
0.39177316293929715,1.0
0.39179924116354925,1.0
0.3918253228598056,1.0
0.39185140802875973,1.0
0.3918774966711052,1.0
0.3919035887875358,1.0
0.3919296843787455,1.0
0.39195578344542853,1.0
0.39198188598827916,1.0
0.392007992007992,1.0
0.39203410150526175,1.0
0.3920602144807833,1.0
0.3920863309352518,1.0
0.39211245086936247,1.0
0.39213857428381077,1.0
0.3921647011792924,1.0
0.3921908315565032,1.0
0.39221696541613915,1.0
0.39224310275889646,1.0
0.3922692435854715,1.0
0.39229538789656093,1.0
0.39232153569286143,1.0
0.39234768697507,1.0
0.39237384174388373,1.0
0.3924,1.0
0.39242616174411626,1.0
0.3924523269769303,1.0
0.39247849569913984,1.0
0.39250466791144306,1.0
0.39253084361453816,1.0
0.39255702280912363,1.0
0.3925832054958981,1.0
0.3926093916755603,1.0
0.39263558134880927,1.0
0.3926617745163442,1.0
0.3926879711788645,1.0
0.39271417133706965,1.0
0.3927403749916594,1.0
0.39276658214333376,1.0
0.3927927927927928,1.0
0.3928190069407368,1.0
0.39284522458786625,1.0
0.39287144573488186,1.0
0.39289767038248447,1.0
0.39292389853137516,1.0
0.39295013018225516,1.0
0.39297636533582586,1.0
0.39300260399278897,1.0
0.39302884615384615,1.0
0.3930550918196995,1.0
0.39308134099105113,1.0
0.3931075936686035,1.0
0.39313384985305905,1.0
0.39316010954512054,1.0
0.393186372745491,1.0
0.3932126394548734,1.0
0.3932389096739711,1.0
0.39326518340348765,1.0
0.3932914606441267,1.0
0.39331774139659204,1.0
0.3933440256615878,1.0
0.3933703134398182,1.0
0.3933966047319877,1.0
0.3934228995388009,1.0
0.39344919786096255,1.0
0.3934754996991778,1.0
0.3935018050541516,1.0
0.39352811392658954,1.0
0.3935544263171971,1.0
0.39358074222668005,1.0
0.3936070616557443,1.0
0.39363338460509595,1.0
0.3936597110754414,1.0
0.3936860410674871,1.0
0.3937123745819398,1.0
0.3937387116195063,1.0
0.39376505218089375,1.0
0.39379139626680937,1.0
0.39381774387796065,1.0
0.3938440950150552,1.0
0.39387044967880086,1.0
0.39389680786990566,1.0
0.39392316958907775,1.0
0.39394953483702566,1.0
0.39397590361445783,1.0
0.39400227592208314,1.0
0.3940286517606105,1.0
0.39405503113074913,1.0
0.39408141403320834,1.0
0.3941078004686977,1.0
0.39413419043792686,1.0
0.39416058394160586,1.0
0.3941869809804447,1.0
0.39421338155515373,1.0
0.3942397856664434,1.0
0.39426619331502444,1.0
0.3942926045016077,1.0
0.39431901922690427,1.0
0.3943454374916254,1.0
0.3943718592964824,1.0
0.39439828464218707,1.0
0.3944247135294512,1.0
0.3944511459589867,1.0
0.39447758193150595,1.0
0.3945040214477212,1.0
0.39453046450834506,1.0
0.39455691111409036,1.0
0.39458336126567006,1.0
0.39460981496379727,1.0
0.3946362722091854,1.0
0.39466273300254795,1.0
0.3946891973445987,1.0
0.3947156652360515,1.0
0.39474213667762054,1.0
0.39476861167002014,1.0
0.3947950902139647,1.0
0.394821572310169,1.0
0.39484805795934796,1.0
0.39487454716221654,1.0
0.3949010399194901,1.0
0.39492753623188404,1.0
0.3949540361001141,1.0
0.394980539524896,1.0
0.39500704650694585,1.0
0.39503355704697984,1.0
0.39506007114571445,1.0
0.39508658880386627,1.0
0.3951131100221521,1.0
0.39513963480128894,1.0
0.39516616314199393,1.0
0.39519269504498455,1.0
0.3952192305109783,1.0
0.395245769540693,1.0
0.39527231213484654,1.0
0.3952988582941572,1.0
0.3953254080193431,1.0
0.39535196131112305,1.0
0.39537851817021563,1.0
0.3954050785973398,1.0
0.39543164259321467,1.0
0.39545821015855953,1.0
0.3954847812940939,1.0
0.39551135600053755,1.0
0.3955379342786103,1.0
0.39556451612903226,1.0
0.3955911015525237,1.0
0.39561769054980506,1.0
0.3956442831215971,1.0
0.3956708792686206,1.0
0.39569747899159663,1.0
0.39572408229124645,1.0
0.39575068916829154,1.0
0.3957772996234535,1.0
0.3958039136574541,1.0
0.3958305312710155,1.0
0.39585715246485975,1.0
0.39588377723970947,1.0
0.3959104055962871,1.0
0.3959370375353155,1.0
0.3959636730575177,1.0
0.3959903121636168,1.0
0.39601695485433624,1.0
0.39604360113039966,1.0
0.3960702509925308,1.0
0.39609690444145357,1.0
0.3961235614778922,1.0
0.396150222102571,1.0
0.39617688631621456,1.0
0.39620355411954766,1.0
0.3962302255132952,1.0
0.3962569004981823,1.0
0.39628357907493433,1.0
0.3963102612442769,1.0
0.39633694700693556,1.0
0.39636363636363636,1.0
0.39639032931510537,1.0
0.39641702586206895,1.0
0.39644372600525357,1.0
0.396470429745386,1.0
0.396497137083193,1.0
0.39652384801940177,1.0
0.3965505625547396,1.0
0.396577280689934,1.0
0.39660400242571253,1.0
0.3966307277628032,1.0
0.3966574567019341,1.0
0.3966841892438334,1.0
0.39671092538922964,1.0
0.39673766513885145,1.0
0.3967644084934277,1.0
0.3967911554536875,1.0
0.39681790602036,1.0
0.39684466019417475,1.0
0.3968714179758614,1.0
0.3968981793661497,1.0
0.39692494436576975,1.0
0.39695171297545184,1.0
0.3969784851959264,1.0
0.39700526102792394,1.0
0.3970320404721754,1.0
0.39705882352941174,1.0
0.3970856102003643,1.0
0.3971124004857644,1.0
0.3971391943863437,1.0
0.397165991902834,1.0
0.39719279303596733,1.0
0.3972195977864759,1.0
0.3972464061550921,1.0
0.3972732181425486,1.0
0.3973000337495781,1.0
0.3973268529769137,1.0
0.3973536758252886,1.0
0.39738050229543614,1.0
0.39740733238808995,1.0
0.3974341661039838,1.0
0.3974610034438517,1.0
0.3974878444084279,1.0
0.39751468899844666,1.0
0.3975415372146427,1.0
0.39756838905775077,1.0
0.3975952445285058,1.0
0.39762210362764305,1.0
0.39764896635589786,1.0
0.3976758327140058,1.0
0.3977027027027027,1.0
0.3977295763227245,1.0
0.39775645357480743,1.0
0.3977833344596878,1.0
0.3978102189781022,1.0
0.3978371071307874,1.0
0.39786399891848045,1.0
0.3978908943419185,1.0
0.3979177934018388,1.0
0.3979446960989791,1.0
0.3979716024340771,1.0
0.3979985124078707,1.0
0.3980254260210982,1.0
0.39805234327449784,1.0
0.39807926416880834,1.0
0.3981061887047683,1.0
0.39813311688311687,1.0
0.3981600487045931,1.0
0.3981869841699364,1.0
0.39821392327988636,1.0
0.39824086603518266,1.0
0.3982678124365654,1.0
0.3982947624847747,1.0
0.39832171618055084,1.0
0.39834867352463454,1.0
0.3983756345177665,1.0
0.3984025991606877,1.0
0.3984295674541393,1.0
0.3984565393988627,1.0
0.3984835149955995,1.0
0.3985104942450914,1.0
0.39853747714808047,1.0
0.3985644637053088,1.0
0.39859145391751877,1.0
0.3986184477854531,1.0
0.3986454453098544,1.0
0.3986724464914657,1.0
0.3986994513310303,1.0
0.39872645982929145,1.0
0.39875347198699274,1.0
0.39878048780487807,1.0
0.3988075072836913,1.0
0.3988345304241767,1.0
0.39886155722707867,1.0
0.3988885876931418,1.0
0.3989156218231108,1.0
0.3989426596177308,1.0
0.3989697010777469,1.0
0.3989967462039046,1.0
0.39902379499694934,1.0
0.39905084745762714,1.0
0.3990779035866838,1.0
0.39910496338486573,1.0
0.39913202685291926,1.0
0.39915909399159094,1.0
0.39918616480162766,1.0
0.39921323928377644,1.0
0.3992403174387845,1.0
0.3992673992673993,1.0
0.3992944847703684,1.0
0.39932157394843965,1.0
0.3993486668023611,1.0
0.399375763332881,1.0
0.3994028635407478,1.0
0.3994299674267101,1.0
0.3994570749915168,1.0
0.3994841862359169,1.0
0.39951130116065975,1.0
